# Generated from Tatoeba English CC0 sentences. Do not edit manually.
# context<TAB>completion<TAB>count...
a	new	224	lot	223	good	119	little	107	few	102	long	92	small	89	very	89	great	69	bit	66
a'hearn	says	1
aa	or	1	so	1
aadmi	party	1
aam	aadmi	1
aamon	animations	1
aaron	gave	1	is	1	kimirei	1
aback	by	1
abadesa	it	1
abalone	off	1
abandon	their	2	them	2	each	1	our	1	that	1
abandoned	buildings	2	after	1	anti	1	by	1	car	1	dock	1	fishing	1	his	1	in	1	it	1
abandoning	christminster	1	issues	1
abandonment	of	1
abated	somewhat	1
abates	the	1
abaya	is	1
abayas	smiled	1
abbas	in	1	rightly	1	was	1
abbasid	caliphate	1
abbess	and	1
abbey	in	1	logo	1	stood	1
abbreviating	language	1
abbreviation	for	1	of	1
abc	news	1
abdallah	is	1
abdel	aziz	1
abdicates	in	1
abdomen	long	1	which	1
abdomens	their	1
abdominal	endoscopy	1	pain	1	wall	1
abdominoplasty	surgeries	1
abducted	by	1
abductees	who	1
abductor	a	1
abductors	broke	1
abdulhalim	mahmoud	1
abdullah	dreamed	1
abdullahi	a	1
abe	a	1
abe's	spokesman	1
abedin	the	1
aberrant	jellyfish	1
aberration	among	1
abet	another	1	the	1
abetted	by	1
abetting	the	1
abettor	to	1
abeyance	because	1	until	1
abhorrence	and	1
abhorrent	criminal	1
abhors	liquorice	1
abi	khalil	1
abide	by	1
abided	by	1
abides	by	1
abidjan	are	1	erupted	1
abigail	allwood's	1
abilities	of	1
ability	to	51	and	1	for	1	in	1	inside	1	is	1	of	1
abiy	ahmed	1
abject	poverty	2	practices	1
abjure	curse	1
ablated	using	1
ablation	because	1
ablaze	by	1
able	to	107	in	1	see	1
abler	patients	1
ablution	facilities	1
ably	dodged	1	handled	1	led	1
abnegate	responsibility	1
abnormal	circumstances	1	growths	1	silent	1
abnormalities	in	3	such	1
abnormality	in	1
abnormally	fast	1
aboard	the	5	a	1	his	1
abodes	of	1
abolish	the	3	america	1	him	1	intellectual	1	it	1	nation	1	prisons	1	rent	1	restaurants	1	work	1
abolished	the	1
abolishes	the	1
abolishing	the	1
abolishment	of	1
abolition	of	6	by	1
abolitionism	was	1
abolitionists	believed	1	in	1
abominably	people	1
abominations	the	1
aboriginal	communities	1	economic	1	tools	1	tribes	1
aborigines	of	2
abort	system	1
abortifacient	instead	1
abortion	laws	5	and	4	is	3	after	2	healthcare	2	affect	1	bans	1	but	1	has	1	on	1
abortions	nationwide	1
abortive	production	1
aborts	a	1
aboubakar	scored	1
abound	in	1	while	1
abounded	there	1
abounding	that	1
abounds	in	1	on	1
about	the	154	it	47	to	31	this	30	you	26	tom	24	a	23	that	22	his	20	him	18
above	the	17	all	12	sea	3	them	3	a	2	and	2	an	1	challenges	1	each	1	everything	1
aboveground	travel	1
abraham	lincoln	3	and	1	chen	1
abrahamic	religions	2	religion	1
abrasions	and	1
abreast	could	1
abridge	the	2	that	1
abridged	version	1
abroad	residences	1	seven	1	the	1
abrupt	change	1
abruptly	drained	1	ended	1
abscess	on	1	removed	1
abscessed	tooth	1
abscesses	and	1
abscissa	x	2
absence	of	5	from	2
absent	from	3	minded	3	are	1	proprietor	1	sustained	1
absentee	ballots	1	landlord	1
absently	fingering	1
absentmindedly	as	1
absinthe	house	1
absolute	and	1	codswallop	1	disgrace	1	enigma	1	fools	1	frauds	1	monster	1	powers	1	serenity	1	silence	1
absolutely	nothing	6	no	5	not	3	antinomic	1	anything	1	beyond	1	breathtaking	1	despises	1	filled	1	love	1
absolution	over	1
absolutism	for	1
absolutist	and	1
absolve	the	1
absorb	harmful	1	intense	1	oxygen	1	songs	1
absorbable	suture	1
absorbed	by	2	in	1
absorber	for	1
absorbing	carbon	1	less	1	liquid	1	park	1
absorbs	the	1
absorption	enhancement	1
abstemious	habits	1
abstinence	and	1	fidelity	1	from	1	versus	1
abstract	art	1	expressionism	1	expressionist	1	figures	1	painter	1	possible	1
abstracted	minimalist	1
abstractedly	i've	1
abstraction	is	1	starting	1
abstractions	and	1	over	1	than	1
absurdists	are	1
absurdities	can	1
absurdum	of	1
abu	dhabi	2
abuja	national	1	village	1
abundance	of	3	but	1	in	1
abundant	bottom	1	forms	1	much	1	of	1	pasturage	1	supply	1
abundantly	in	1
abuse	and	3	occurs	2	of	2	victims	2	are	1	because	1	directed	1	grooming	1	happens	1	he	1
abused	for	1	while	1	women	1
abuser	marilyn	1	this	1
abuses	can	1	engendered	1	flowing	1	including	1	with	1
abusing	amber	1	power	1	powers	1	queer	1	terms	1	the	1	their	1	trans	1
abusive	people	2	and	1	employers	1	ex	1	narcissist	1	places	1	priest	1	psychiatric	1
abuzz	with	2
abyss	of	1
abyssal	plain	1
abyssline	project	1
acab	includes	1
acacia	tree	1
acacias	where	1
academia	and	1	the	1
academic	authority	1	community	1	conference	1	dispute	1	ignored	1	pleasure	1	record	1	sources	1	work	1	year	1
academic's	idealized	1
academics	are	1	say	1
academy	of	5	awards	4	award	2	behold	1	praised	1	said	1	similar	1
academy's	code	1
acadian	heritage	1	one	1
acarus	is	1
accede	to	1
accelerant	to	1
accelerate	lung	1	the	1	their	1
accelerating	action	1
acceleration	and	1	because	1
accelerations	experienced	1	when	1
accelerometer	to	1
accelerometers	and	1	which	1	within	1
accent	as	2	is	2	despite	1	her	1	that	1	the	1	was	1
accented	portuguese	1
accents	would	1
accentuate	the	1
accentuated	by	1
accept	it	4	the	3	criticism	2	that	2	donations	1	dowries	1	gay	1	my	1	or	1	payment	1
acceptability	and	1
acceptable	to	2	as	1	for	1
acceptance	of	5	but	1
accepted	the	6	as	2	best	1	branches	1	by	1	into	1	medical	1	method	1	multiple	1	social	1
accepting	the	2
accepts	financial	1	his	1
